Rank,Name,Platform,Year,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1,Pokemon,Series,1998,Nintendo  ,Game Freak  ,,,,,,,
2,Super Mario,Series,1983,Nintendo  ,Nintendo  ,,,,,,,
3,Call of Duty,Series,2003,Activision  ,Infinity Ward|Grey Matter Interactive|Treyarch|Sledgehammer Games|Raven Software|Neversoft|High Moon Studios  ,,,,,,,
4,Grand Theft Auto,Series,1998,ASC Games  ,Rockstar North|Rockstar Leeds|Digital Eclipse  ,,,,,,,
5,FIFA,Series,1993,EA Sports  ,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present)  ,,,,,,,
6,The Sims,Series,2000,Electronic Arts  ,Maxis  ,,,,,,,
7,Minecraft,Series,2011,Mojang  ,Mojang  ,,,,,,,
8,Tetris,Series,1984,Unknown  ,"Alexey Pajitnov|AcademySoft|Andromeda Software|Atari Games|Bullet-Proof Software|Electronic Arts|Elorg|Nintendo R&D1|Philips|Rowan Software|Spectrum HoloByte|Sphere, Inc.|Sanritsu Denki|Sega|SoMa Play| ZCT Systems|Gameloft  ",,,,,,,
9,Final Fantasy,Series,1987,Square  ,Square|Square Enix  ,,,,,,,
10,Need for Speed,Series,1994,Electronic Arts  ,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios  ,,,,,,,
11,Mario Kart,Series,1992,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai  ,,,,,,,
12,Assassin's Creed,Series,2007,Ubisoft  ,Ubisoft|Gameloft|Griptonite Games|Blue Byte  ,,,,,,,
13,Madden NFL,Series,1988,Electronic Arts  ,"Park Place Productions|D.C. True, Ltd.|Electronic Arts|Blue Sky Productions|Visual Concepts|High Score Productions|Halestorm|Tiertex|Tiburon Entertainment|EA Tiburon|EA Sports|THQ|3d6 Games|Budcat Creations|Exient Entertainment|EA Canada|HB Studios  ",,,,,,,
14,Wii Sports,Series,2006,Nintendo  ,Nintendo|Bandai Namco Studios  ,,,,,,,
15,The Legend of Zelda,Series,1987,Nintendo  ,Nintendo  ,,,,,,,
16,Pro Evolution Soccer,Series,1995,Konami  ,Konami  ,,,,,,,
17,Lego,Series,1997,Mindscape  ,TT Fusion  ,,,,,,,
18,Resident Evil,Series,1996,Capcom  ,Capcom  ,,,,,,,
19,NBA 2K,Series,1999,Sega  ,Visual Concepts|Saber Interactive   ,,,,,,,
20,Wii Sports,Wii,2006,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65
21,Gran Turismo,Series,1998,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,
22,Dragon Quest,Series,1986,Square  ,ArtePiazza|Chunsoft|Heartbeat|Level-5|Square Enix  ,,,,,,,
23,Battlefield,Series,2002,Electronic Arts  ,EA DICE|Easy Studios|Neowiz Games|Visceral Games  ,,,,,,,
24,Sonic the Hedgehog,Series,1991,Sega  ,Sonic Team  ,,,,,,,
25,Tomb Raider,Series,1996,Eidos Interactive  ,Core Design|Crystal Dynamics|Nixxes Software|Ubisoft Milan|Eidos Montreal  ,,,,,,,
26,Halo,Series,2001,Microsoft Game Studios  ,Bungie|343 Industries  ,,,,,,,
